,agency,amended_notice,amended_notice_date,comment_due_review_date,comment_letter_date,comment_letters,comment_letters_titles,contact_name,contact_phone,date_uploaded,document_type,eis_number,federal_register_date,rating,report_files,report_files_titles,report_link,state,supplemental_info,title,website
10,USACE,,,01/20/2015,,,,Marcia Hackett,817-886-1373,12/19/2014,Final EIS; Final EIS,20140365,12/19/2014,,,,12/19/2014,TX, ,Dallas Floodway Project,
11,USACE,,,02/02/2015,,,,William DeJager,415-503-6866,12/19/2014,Draft EIS; Draft EIS,20140371,12/19/2014,,,,12/19/2014,CA, ,South San Francisco Bay Shoreline Phase I ,
12,USFS,,,02/10/2015,,,,Sarah Hankens,970-625-6840,12/19/2014,Final EIS; Final EIS,20140361,12/19/2014,,"../(EISDocs)/20140361/$file/Final EIS (entire document).pdf?OpenElement||../(EISDocs)/20140361/$file/Figure5_AltA_LandAvailability_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure6_AltA_Stipulations1993_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure7_AltA_LeasedLands_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure8_AltB_LeasedLands_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure9_AltB_LeaseExpiration11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure10_AltC_LandAvailability_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure11_AltC_LandAvailability_NSO_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure12_AltC_LandAvailability_CSU_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure13_AltC_LandAvailability_TL_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/Figure14_AltC_LeasedLands_11x17.pdf?OpenElement||../(EISDocs)/20140361/$file/12-09-14 - Opportunity to Object, Oil and Gas.pdf?OpenElement||../(EISDocs)/20140361/$file/WRNF Oil and Gas DRAFT_ROD_12_14.pdf?OpenElement","EIS Document: Final EIS (entire document).pdf||EIS Document: Figure5_AltA_LandAvailability_11x17.pdf||EIS Document: Figure6_AltA_Stipulations1993_11x17.pdf||EIS Document: Figure7_AltA_LeasedLands_11x17.pdf||EIS Document: Figure8_AltB_LeasedLands_11x17.pdf||EIS Document: Figure9_AltB_LeaseExpiration11x17.pdf||EIS Document: Figure10_AltC_LandAvailability_11x17.pdf||EIS Document: Figure11_AltC_LandAvailability_NSO_11x17.pdf||EIS Document: Figure12_AltC_LandAvailability_CSU_11x17.pdf||EIS Document: Figure13_AltC_LandAvailability_TL_11x17.pdf||EIS Document: Figure14_AltC_LeasedLands_11x17.pdf||EIS Document: 12-09-14 - Opportunity to Object, Oil and Gas.pdf||EIS Document: WRNF Oil and Gas DRAFT_ROD_12_14.pdf",12/19/2014,CO, ,White River National Forest Oil and Gas Leasing,
13,USFWS,,,03/20/2015,,,,Vanessa Burge,505-248-6420,12/19/2014,Draft EIS; Draft EIS,20140360,12/19/2014,,../(EISDocs)/20140360/$file/SEP-HCP Draft EIS 10-10-2014.pdf?OpenElement,EIS Document: SEP-HCP Draft EIS 10-10-2014.pdf,12/19/2014,TX, ,Southern Edwards Plateau Habitat Conservation Plan,
14,USN,,,02/02/2015,,,,John Mosher,360-257-3234,12/19/2014,Draft Supplement; Draft Supplement,20140370,12/19/2014,,../(EISDocs)/20140370/$file/NWTT_Supplement_DEIS-OEIS.pdf?OpenElement,EIS Document: NWTT_Supplement_DEIS-OEIS.pdf,12/19/2014,WA, ,Northwest Training and Testing ,
15,FAA,,,01/26/2015,,,,Janell Barrilleaux,425-227-2611,12/12/2014,Draft Supplement; Draft Supplement,20140355,12/12/2014,,../(EISDocs)/20140355/$file/Cal Black Memorial Airport DRAFT Supplemental EIS.pdf?OpenElement||../(EISDocs)/20140355/$file/Cal Black Memorial Airport DRAFT Supplemental EIS_Appendices.pdf?OpenElement,EIS Document: Cal Black Memorial Airport DRAFT Supplemental EIS.pdf||EIS Document: Cal Black Memorial Airport DRAFT Supplemental EIS_Appendices.pdf,12/12/2014,UT, ,Cal Black Memorial Airport,
16,FHWA,,,01/12/2015,,,,Theresa Claxton,615-781-5770,12/12/2014,Final EIS; Final EIS,20140347,12/12/2014,,"../(EISDocs)/20140347/$file/Chapter 0 - Summary.pdf?OpenElement||../(EISDocs)/20140347/$file/Chapter 1 - Purpose and Need for Action.pdf?OpenElement||../(EISDocs)/20140347/$file/Chapter 2 - Alternatives.pdf?OpenElement||../(EISDocs)/20140347/$file/Chapter 3 - Affected Environment.pdf?OpenElement||../(EISDocs)/20140347/$file/Chapter 4 - Environmental Consequences.pdf?OpenElement||../(EISDocs)/20140347/$file/Chapter 5 - Public Input and Agency Coordination.pdf?OpenElement||../(EISDocs)/20140347/$file/Chapter 6 - References.pdf?OpenElement||../(EISDocs)/20140347/$file/Chapter 7 - List of Preparers.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix A - Traffic Analysis Summary.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix B - Air Quality Report.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix C - Noise Evaluation Update.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix D - Section 106 Historic Architectural Coordination.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix E - Section 106 Archaeological Coordination.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix F - Hazardous Materials Studies.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix G - Public Involvement Coordination_1.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix G - Public Involvement Coordination_2.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix H - Agency Coordination.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix I - Conceptual Layouts.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix J - 2012 DEIS_1.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix J - 2012 DEIS_2.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Appendix K - Pages from Websites used in the FEIS.pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Attachments (A, B, C, D).pdf?OpenElement||../(EISDocs)/20140347/$file/SR 126 FEIS Attachments (E, F, G, H).pdf?OpenElement","EIS Document: Chapter 0 - Summary.pdf||EIS Document: Chapter 1 - Purpose and Need for Action.pdf||EIS Document: Chapter 2 - Alternatives.pdf||EIS Document: Chapter 3 - Affected Environment.pdf||EIS Document: Chapter 4 - Environmental Consequences.pdf||EIS Document: Chapter 5 - Public Input and Agency Coordination.pdf||EIS Document: Chapter 6 - References.pdf||EIS Document: Chapter 7 - List of Preparers.pdf||EIS Document: SR 126 FEIS Appendix A - Traffic Analysis Summary.pdf||EIS Document: SR 126 FEIS Appendix B - Air Quality Report.pdf||EIS Document: SR 126 FEIS Appendix C - Noise Evaluation Update.pdf||EIS Document: SR 126 FEIS Appendix D - Section 106 Historic Architectural Coordination.pdf||EIS Document: SR 126 FEIS Appendix E - Section 106 Archaeological Coordination.pdf||EIS Document: SR 126 FEIS Appendix F - Hazardous Materials Studies.pdf||EIS Document: SR 126 FEIS Appendix G - Public Involvement Coordination_1.pdf||EIS Document: SR 126 FEIS Appendix G - Public Involvement Coordination_2.pdf||EIS Document: SR 126 FEIS Appendix H - Agency Coordination.pdf||EIS Document: SR 126 FEIS Appendix I - Conceptual Layouts.pdf||EIS Document: SR 126 FEIS Appendix J - 2012 DEIS_1.pdf||EIS Document: SR 126 FEIS Appendix J - 2012 DEIS_2.pdf||EIS Document: SR 126 FEIS Appendix K - Pages from Websites used in the FEIS.pdf||EIS Document: SR 126 FEIS Attachments (A, B, C, D).pdf||EIS Document: SR 126 FEIS Attachments (E, F, G, H).pdf",12/12/2014,TN, ,SR-126 (Memorial Boulevard) Improvement Project from East Center Street to I-81 ,
17,FHWA,,,01/12/2015,,,,Philip Forst,651-291-6100,12/12/2014,Final EIS; Final EIS,20140349,12/12/2014,,../(EISDocs)/20140349/$file/TH_41_FEIS__Table_of_Contents_and_Chapter_1.0__Executive_Summary.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_2.0_Purpose_and_Need.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_3.0__Preferred_Alternative.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_4.0_Transportation_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_5.0__Social_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_6.0__Physical_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_7.0__Natural_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_8.0__Parks_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_9.0__Water_Resource_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_10.0_Historic_and_Archeological_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_11.0__Construction_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_12.0__Indirect_Effects.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_13.0_Cumulative_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_14.0__Unavoidable_Adverse_Impacts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_15.0_Coordination.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_16.0_Preparers.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_17.0__DEIS_Technical_Revisions_.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Chapter_18.0_DEIS_Comment_Responses.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_A._TH_41_DEIS.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_A-1._RCIC_Report_Excerpts.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_A-2._RCIC_Full_Report.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_B._Correspondence.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_B-1._NEPA_404_Concurrence.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_C._Alternatives_Table.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_D._Final_Section_4(f)_Evaluation.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_E._Agency_Comments_and_Responses.pdf?OpenElement||../(EISDocs)/20140349/$file/TH_41_FEIS__Appendix_F._Organization_Comments_and_Responses.pdf?OpenElement,EIS Document: TH_41_FEIS__Table_of_Contents_and_Chapter_1.0__Executive_Summary.pdf||EIS Document: TH_41_FEIS__Chapter_2.0_Purpose_and_Need.pdf||EIS Document: TH_41_FEIS__Chapter_3.0__Preferred_Alternative.pdf||EIS Document: TH_41_FEIS__Chapter_4.0_Transportation_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_5.0__Social_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_6.0__Physical_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_7.0__Natural_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_8.0__Parks_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_9.0__Water_Resource_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_10.0_Historic_and_Archeological_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_11.0__Construction_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_12.0__Indirect_Effects.pdf||EIS Document: TH_41_FEIS__Chapter_13.0_Cumulative_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_14.0__Unavoidable_Adverse_Impacts.pdf||EIS Document: TH_41_FEIS__Chapter_15.0_Coordination.pdf||EIS Document: TH_41_FEIS__Chapter_16.0_Preparers.pdf||EIS Document: TH_41_FEIS__Chapter_17.0__DEIS_Technical_Revisions_.pdf||EIS Document: TH_41_FEIS__Chapter_18.0_DEIS_Comment_Responses.pdf||EIS Document: TH_41_FEIS__Appendix_A._TH_41_DEIS.pdf||EIS Document: TH_41_FEIS__Appendix_A-1._RCIC_Report_Excerpts.pdf||EIS Document: TH_41_FEIS__Appendix_A-2._RCIC_Full_Report.pdf||EIS Document: TH_41_FEIS__Appendix_B._Correspondence.pdf||EIS Document: TH_41_FEIS__Appendix_B-1._NEPA_404_Concurrence.pdf||EIS Document: TH_41_FEIS__Appendix_C._Alternatives_Table.pdf||EIS Document: TH_41_FEIS__Appendix_D._Final_Section_4(f)_Evaluation.pdf||EIS Document: TH_41_FEIS__Appendix_E._Agency_Comments_and_Responses.pdf||EIS Document: TH_41_FEIS__Appendix_F._Organization_Comments_and_Responses.pdf,12/12/2014,MN, ,Trunk Highway 41 Minnesota River Crossing Tier I,
18,FHWA,,,12/02/2014,,,,George Poirier,608-829-7500,12/12/2014,Final EIS; Final EIS,20140348,12/12/2014,,../(EISDocs)/20140348/$file/I-43_N-S_FEIS_Sect_0-9_November_2014.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_A_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_B_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_C_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_D_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_E_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_F_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_G_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_H_I-43_North-South_EIS.pdf?OpenElement||../(EISDocs)/20140348/$file/Appendix_I_I-43_North-South_EIS.pdf?OpenElement,EIS Document: I-43_N-S_FEIS_Sect_0-9_November_2014.pdf||EIS Document: Appendix_A_I-43_North-South_EIS.pdf||EIS Document: Appendix_B_I-43_North-South_EIS.pdf||EIS Document: Appendix_C_I-43_North-South_EIS.pdf||EIS Document: Appendix_D_I-43_North-South_EIS.pdf||EIS Document: Appendix_E_I-43_North-South_EIS.pdf||EIS Document: Appendix_F_I-43_North-South_EIS.pdf||EIS Document: Appendix_G_I-43_North-South_EIS.pdf||EIS Document: Appendix_H_I-43_North-South_EIS.pdf||EIS Document: Appendix_I_I-43_North-South_EIS.pdf,12/12/2014,WI,"Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD.  Therefore, 
the 30-day wait/review period under NEPA does not apply to this action",Interstate 43 North-South Freeway Improvements,
19,NPS,,,01/12/2015,,,,Bill Black,573-323-4852,12/12/2014,Final EIS; Final EIS,20140351,12/12/2014,,../(EISDocs)/20140351/$file/OZARK_NATIONAL_SCENIC_RIVERWAY_FINAL_GENERAL_MANAGEMENT_PLAN_ENVIRONMENTAL_IMPACT_STATEMENT_for_CD.pdf?OpenElement,EIS Document: OZARK_NATIONAL_SCENIC_RIVERWAY_FINAL_GENERAL_MANAGEMENT_PLAN_ENVIRONMENTAL_IMPACT_STATEMENT_for_CD.pdf,12/12/2014,MO, ,Ozark National Scenic Riverways General Management Plan,
20,NRC,,,01/12/2015,,,,David Drucker,301-415-6223,12/12/2014,Final EIS; Final EIS,20140353,12/12/2014,,../(EISDocs)/20140353/$file/GGNS FSEIS.pdf?OpenElement,EIS Document: GGNS FSEIS.pdf,12/12/2014,MS, ,"Generic -  License Renewal of Nuclear Plants, Supplement 50, Regarding Grand Gulf Nuclear Station, Unit 1",
21,USACE,,,01/26/2015,,,,Garett Lips,561-674-2421,12/12/2014,Draft EIS; Draft EIS,20140354,12/12/2014,,../(EISDocs)/20140354/$file/SOUTHERN PALM BEACH ISLAND COMPREHENSIVE SHORELINE STABILIZATION PROJECT DEIS .pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix A Public Scoping Report.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix B_PBC Technical Sand Spedifications.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix C_Acropora Survey_PBC-ERM.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix D_2013 Characterization Rpt.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix E Biological Assessment.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix F_EFH.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix G - Engineering Analysis and Numerical Modeling.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix H_Draft UMAM Analysis.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix I_Draft Compensatory Mitigation Plan.pdf?OpenElement||../(EISDocs)/20140354/$file/Appendix J_Cumulative Impact Analysis.pdf?OpenElement,EIS Document: SOUTHERN PALM BEACH ISLAND COMPREHENSIVE SHORELINE STABILIZATION PROJECT DEIS .pdf||EIS Document: Appendix A Public Scoping Report.pdf||EIS Document: Appendix B_PBC Technical Sand Spedifications.pdf||EIS Document: Appendix C_Acropora Survey_PBC-ERM.pdf||EIS Document: Appendix D_2013 Characterization Rpt.pdf||EIS Document: Appendix E Biological Assessment.pdf||EIS Document: Appendix F_EFH.pdf||EIS Document: Appendix G - Engineering Analysis and Numerical Modeling.pdf||EIS Document: Appendix H_Draft UMAM Analysis.pdf||EIS Document: Appendix I_Draft Compensatory Mitigation Plan.pdf||EIS Document: Appendix J_Cumulative Impact Analysis.pdf,12/12/2014,FL, ,South Central Palm Beach Island Comprehensive Shoreline Stabilization Project,
